         EPS      Labmda       Sigma       Omega          HI       LOS:      TIMELOS     IterLOS         LU:      TIMELU
       1e-08         100           0      0.0001    8.81e-12       LOS:     0.003943           0         LU:    0.599074
       1e-08         100           0      0.0001       1e-11       LOS:     0.004133           0         LU:    0.594518
       1e-08         100           0      0.0001       1e-10       LOS:     0.002902           0         LU:    0.609587
       1e-08         100           0           1    8.81e-12       LOS:     0.002891           0         LU:    0.608367
       1e-08         100           0           1       1e-11       LOS:     0.002952           0         LU:    0.598649
       1e-08         100           0           1       1e-10       LOS:     0.003143           0         LU:    0.608612
       1e-08         100           0       10000    8.81e-12       LOS:     0.002821           0         LU:    0.597905
       1e-08         100           0       10000       1e-11       LOS:     0.003049           0         LU:    0.599517
       1e-08         100           0       10000       1e-10       LOS:     0.002756           0         LU:    0.602374
       1e-08         100           0       1e+09    8.81e-12       LOS:     0.002964           0         LU:    0.607128
       1e-08         100           0       1e+09       1e-11       LOS:     0.003034           0         LU:    0.602676
       1e-08         100           0       1e+09       1e-10       LOS:     0.002831           0         LU:     0.63743
       1e-08         100       10000      0.0001    8.81e-12       LOS:     0.011924           0         LU:    0.608908
       1e-08         100       10000      0.0001       1e-11       LOS:     0.011514           0         LU:    0.601363
       1e-08         100       10000      0.0001       1e-10       LOS:     0.011081           0         LU:    0.650694
       1e-08         100       10000           1    8.81e-12       LOS:     0.011123           0         LU:    0.597201
       1e-08         100       10000           1       1e-11       LOS:      0.01158           0         LU:    0.609945
       1e-08         100       10000           1       1e-10       LOS:     0.014558           0         LU:    0.599547
       1e-08         100       10000       10000    8.81e-12       LOS:     0.011438           0         LU:     0.60741
       1e-08         100       10000       10000       1e-11       LOS:     0.011055           0         LU:    0.612942
       1e-08         100       10000       10000       1e-10       LOS:     0.010582           0         LU:    0.605721
       1e-08         100       10000       1e+09    8.81e-12       LOS:     0.010257           0         LU:    0.606513
       1e-08         100       10000       1e+09       1e-11       LOS:     0.010551           0         LU:    0.606927
       1e-08         100       10000       1e+09       1e-10       LOS:     0.017221           0         LU:    0.607856
       1e-08         100       1e+08      0.0001    8.81e-12       LOS:     0.010136           0         LU:    0.609282
       1e-08         100       1e+08      0.0001       1e-11       LOS:     0.010862           0         LU:     0.61207
       1e-08         100       1e+08      0.0001       1e-10       LOS:     0.011926           0         LU:    0.609491
       1e-08         100       1e+08           1    8.81e-12       LOS:      0.01105           0         LU:    0.671393
       1e-08         100       1e+08           1       1e-11       LOS:     0.010295           0         LU:    0.614888
       1e-08         100       1e+08           1       1e-10       LOS:     0.011468           0         LU:     0.60682
       1e-08         100       1e+08       10000    8.81e-12       LOS:     0.014774           1         LU:    0.660156
       1e-08         100       1e+08       10000       1e-11       LOS:     0.014976           1         LU:    0.601858
       1e-08         100       1e+08       10000       1e-10       LOS:     0.018534           1         LU:    0.610689
       1e-08         100       1e+08       1e+09    8.81e-12       LOS:      0.01451           1         LU:    0.600998
       1e-08         100       1e+08       1e+09       1e-11       LOS:     0.015021           1         LU:    0.613842
       1e-08         100       1e+08       1e+09       1e-10       LOS:     0.018406           1         LU:    0.649075
       1e-08       10000           0      0.0001    8.81e-12       LOS:     0.003338           0         LU:    0.603004
